AD,ALV,Andorra la Vella Off-line Point,Andorra la Vella,
AE,AAN,Al Ain International Airport,Al Ain,
AE,AUH,Abu Dhabi International Airport,Abu Dhabi,
AE,AYM,Abu Dhabi Yas Island SPB Airport,Abu Dhabi,
AE,AZI,Abu Dhabi Bateen Airport,Abu Dhabi,
AE,DCG,Dubai Dubai Creek SPB Airport,Dubai,
AE,DHF,Abu Dhabi Al Dhafra AB Airport,Abu Dhabi,
AE,DJH,Dubai Jebel Ali SPB Airport,Dubai,
AE,DST,Dubai Seaplane Terminal,Dubai,
AE,DWC,Dubai Al Maktoum Intl Airport,Dubai,
AE,DXB,Dubai International Airport,Dubai,
AE,FJR,Fujairah International Airport,Fujairah,
AE,NHD,Dubai Minhad AB Airport,Dubai,
AE,QAJ,Ajman Off-line Point,Ajman,
AE,QIW,Umm al Quwain Off-line Point,Umm al Quwain,
AE,RHR,Ras al Khaimah Al Hamra SPB Airport,Ras al Khaimah,
AE,RKT,Ras al Khaimah International Airport,Ras al Khaimah,
AE,SHJ,Sharjah Airport,Sharjah,
AE,XEU,Dubai Hyatt Rgncy EY Bus Station,Dubai,
AE,XMB,Dubai Marina Mall EY Bus Station,Dubai,
AE,XNB,Dubai Travel Mall EY Bus Station,Dubai,
AE,XSB,Sir Bani Yas Island Airport,Sir Bani Yas Island,
AE,ZDY,Delma Island Airport,Delma Island,
AE,ZJF,Dubai Jebel Ali Free Zone Off-line Point,Dubai,
AE,ZVH,Al Ain EK Bus Station,Al Ain,
AE,ZVJ,Abu Dhabi EK Bus Station,Abu Dhabi,
AE,ZXZ,Dubai Jumeirah Beach Bus Station,Dubai,
AF,BIN,Bamyan Airport,Bamyan,
AF,BST,Lashkar Gah Bost Airport,Lashkar Gah,
AF,CCN,Chaghcharan Airport,Chaghcharan,
AF,DAZ,Darwaz Airport,Darwaz,
AF,DWR,Dwyer Air Base Airport,Dwyer,
AF,FAH,Farah Airport,Farah,
AF,FBD,Faizabad Airport,Faizabad,
AF,GRG,Gardez Airport,Gardez,
AF,GZI,Ghazni Airport,Ghazni,
AF,HEA,Herat Airport,Herat,
AF,JAA,Jalalabad Airport,Jalalabad,
AF,KBL,Kabul International Airport,Kabul,
AF,KDH,Kandahar International Airport,Kandahar,
AF,KHT,Khost Chapman Airport,Khost,
AF,KUR,Kiran wa Munjan Razer Airport,Kiran wa Munjan,
AF,KWH,Khwahan Airport,Khwahan,
AF,LQN,Qalah-ye Now Airport,Qalah-ye Now,
AF,MMZ,Maimanah Airport,Maimanah,
