"iata_code";"language_id";"name"
"AAA";"EN";"Anaa Airport"
"AAB";"EN";"Arrabury Airport"
"AAC";"EN";"El Arish International Airport"
"AAD";"EN";"Adado Airport"
"AAE";"EN";"Annaba Rabah Bitat Airport"
"AAF";"EN";"Apalachicola Regional Airport"
"AAG";"EN";"Arapoti Avelino Vieira Airport"
"AAH";"EN";"Aachen Merzbrueck Airport"
"AAI";"EN";"Arraias Airport"
"AAJ";"EN";"Awaradam Cajana Airport"
"AAK";"EN";"Aranuka Airport"
"AAL";"EN";"Aalborg Airport"
"AAM";"EN";"Mala Mala Airport"
"AAN";"EN";"Al Ain International Airport"
"AAO";"EN";"Anaco Airport"
"AAP";"EN";"Aji Pangeran Tumenggung Pran Int. Airpt."
"AAQ";"EN";"Anapa Vityazevo Airport"
"AAR";"EN";"Aarhus Airport"
"AAS";"EN";"Apalapsili Airport"
"AAT";"EN";"Altay Airport"
"AAU";"EN";"Asau Airport"
"AAV";"EN";"Surallah Allah Valley Airport"
"AAX";"EN";"Araxa Airport"
"AAY";"EN";"Al Ghaydah Airport"
"AAZ";"EN";"Quetzaltenango Airport"
"ABA";"EN";"Abakan Airport"
"ABB";"EN";"Asaba International Airport"
"ABC";"EN";"Albacete Airport"
"ABD";"EN";"Abadan Airport"
"ABE";"EN";"Allentown Lehigh Valley Intl Airport"
"ABF";"EN";"Abaiang Airport"
"ABG";"EN";"Abingdon Downs Airport"
"ABH";"EN";"Alpha Airport"
"ABI";"EN";"Abilene Regional Airport"
"ABJ";"EN";"Abidjan Felix Houphouet-Boigny Airport"
"ABK";"EN";"Kebri Dehar Airport"
"ABL";"EN";"Ambler Airport"
"ABM";"EN";"Bamaga Northern Peninsula Airport"
"ABN";"EN";"Albina Airport"
"ABO";"EN";"Aboisso Airport"
"ABP";"EN";"Atkamba Airport"
"ABQ";"EN";"Albuquerque Intl Sunport Airport"
"ABR";"EN";"Aberdeen Regional Airport"
"ABS";"EN";"Abu Simbel Airport"
"ABT";"EN";"Al Baha Al-Aqiq Airport"
"ABU";"EN";"Atambua Haliwen Airport"
"ABV";"EN";"Abuja Nnamdi Azikiwe Intl Airport"
"ABW";"EN";"Abau Airport"
"ABX";"EN";"Albury Airport"
"ABY";"EN";"Albany Southwest Georgia Rgnl Airport"
"ABZ";"EN";"Aberdeen Dyce Airport"
"ACA";"EN";"Acapulco Juan N. Alvarez Intl Airport"
"ACB";"EN";"Bellaire Antrim County Airport"
"ACC";"EN";"Accra Kotoka Intl Airport"
"ACD";"EN";"Acandi Alcides Fernandez Airport"
"ACE";"EN";"Lanzarote Airport"
"ACH";"EN";"Altenrhein St Gallen-Altenrhein Airport"
"ACI";"EN";"Alderney Airport"
"ACJ";"EN";"Anuradhapura Airport"
"ACK";"EN";"Nantucket Memorial Airport"
"ACL";"EN";"Aguaclara Airport"
"ACM";"EN";"Arica Airport"
"ACN";"EN";"Ciudad Acuna International Airport"
"ACP";"EN";"Maragheh Sahand Airport"
"ACR";"EN";"Araracuara Airport"
"ACS";"EN";"Achinsk Airport"
"ACT";"EN";"Waco Regional Airport"
"ACU";"EN";"Achutupo Airport"
"ACV";"EN";"Arcata/Eureka Arcata Apt Airport"
"ACX";"EN";"Xingyi Airport"
"ACY";"EN";"Atlantic City International Airport"
"ACZ";"EN";"Zabol Airport"
"ADA";"EN";"Adana Sakirpasa Airport"
"ADB";"EN";"Izmir Adnan Menderes Airport"
"ADC";"EN";"Andakombe Airport"
"ADD";"EN";"Addis Ababa Bole Intl Airport"
"ADE";"EN";"Aden International Airport"
"ADF";"EN";"Adiyaman Airport"
"ADG";"EN";"Adrian Lenawee County Airport"
"ADH";"EN";"Aldan Airport"
"ADI";"EN";"Arandis Airport"
"ADJ";"EN";"Amman Marka Intl Airport"
"ADK";"EN";"Adak Island Airport"
"ADL";"EN";"Adelaide International Airport"
"ADM";"EN";"Ardmore Municipal Airport"
"ADN";"EN";"Andes Airport"
"ADO";"EN";"Andamooka Airport"
"ADP";"EN";"Ampara Gal Oya Airport"
"ADQ";"EN";"Kodiak Airport"
"ADR";"EN";"Andrews Robert F. Swinnie Airport"
"ADS";"EN";"Dallas Addison Airport"
"ADT";"EN";"Ada Municipal Airport"
"ADU";"EN";"Ardabil Airport"
"ADV";"EN";"Addeain Airport"
"ADW";"EN";"Camp Springs Joint Base Andrews Airport"
"ADX";"EN";"St Andrews Leuchars RAF Airport"
"ADY";"EN";"Alldays Airport"
"ADZ";"EN";"Gustavo R. Pinilla Int Airport"
"AEA";"EN";"Abemama Airport"
"AEB";"EN";"Baise Youjiang Airport"
"AEE";"EN";"Adareil Airport"
"AEG";"EN";"Padangsidempuan Aekgodang Airport"
"AEH";"EN";"Abeche Airport"
"AEI";"EN";"Algeciras Railway Station"
"AEK";"EN";"Aseki Airport"
"AEL";"EN";"Albert Lea Municipal Airport"
"AEM";"EN";"Amgu airport"
"AEO";"EN";"Aioun El Atrouss Airport"
"AEP";"EN";"Buenos Aires Jorge Newbery Airport"
"AEQ";"EN";"Ar Horqin Airport"
"AER";"EN";"Sochi International Airport"
"AES";"EN";"Alesund Vigra Airport"
"AET";"EN";"Allakaket Airport"
"AEU";"EN";"Abu Musa Island Airport"
"AEX";"EN";"Alexandria International Airport"
"AEY";"EN";"Akureyri Airport"
"AFA";"EN";"San Rafael Airport"
"AFD";"EN";"Port Alfred Airport"
"AFF";"EN";"USAF Academy Airfield Apt"
"AFI";"EN";"Amalfi Airport"
"AFK";"EN";"Ampara Kondavattavan Tank SPB Airport"
"AFL";"EN";"Alta Floresta Oswaldo Marques Dias Apt"
"AFN";"EN";"Jaffrey Municipal Airport"
"AFO";"EN";"Afton Municipal Airport"
"AFR";"EN";"Afore Airport"
